NFLID,Short_Name,Full_Name,Date_of_Birth,Height,Weight,College,Years_Pro,Jersey_Number
00-0027268,S.Williams,Seth Williams,10/24/1986,71,185,Richmond,1,
00-0027269,G.Brown,Garrett Brown,9/20/1988,74,300,Minnesota,2,
00-0000585,C.Bailey,Champ Bailey,6/22/1978,72,192,Georgia,16,27
00-0027263,N.Collins,Nate Collins,12/14/1987,74,296,Virginia,5,98
00-0027260,T.Brown,Tim Brown,11/9/1987,68,165,Rutgers,1,
00-0027261,D.Calhoun,Duke Calhoun,9/1/1987,74,200,Memphis,3,
00-0027266,M.Greco,Michael Greco,2/26/1987,75,217,Central Florida,2,
00-0027267,A.Okpokowuruk,Ayanga Okpokowuruk,6/19/1987,74,253,Duke,1,
00-0027264,J.Cordle,Jim Cordle,8/22/1987,75,320,Ohio State,3,63
00-0027265,V.Cruz,Victor Cruz,11/11/1986,72,204,Massachusetts,7,80
00-0024408,B.Gradkowski,Bruce Gradkowski,1/27/1983,73,217,Toledo,11,5
00-0024406,M.Hudson,Marcus Hudson,11/15/1982,74,200,North Carolina State,5,
00-0024405,J.Mincey,Jeremy Mincey,12/14/1983,76,280,Florida,8,92
00-0024404,J.Webb,Jeff Webb,1/31/1982,74,211,San Diego State,4,
00-0024403,D.Coleman,Drew Coleman,4/22/1983,69,180,Texas Christian,7,
00-0024401,J.Clary,Jeromey Clary,11/5/1983,78,320,Kansas State,8,66
00-0024400,T.Stallings,Tre' Stallings,1/8/1983,75,305,Mississippi,4,
00-0001980,K.Brown,Kris Brown,12/23/1976,71,215,Nebraska,12,
00-0032799,,Aaron Wallace,7/8/1993,74,242,UCLA,0,52
00-0030318,K.Geathers,Kwame Geathers,10/4/1990,78,335,Georgia,3,76
00-0030316,B.Cotton,Ben Cotton,6/13/1989,78,256,Nebraska,,
00-0030317,M.Cromartie,Marcus Cromartie,12/3/1990,72,195,Wisconsin,3,47
00-0030314,F.Beltre,Frank Beltre,1/28/1990,74,240,Towson,0,0
00-0030315,G.Brown,Greg Brown,1/21/1990,70,188,Kansas,,
00-0030312,J.Addae,Jahleel Addae,1/24/1990,70,195,Central Michigan,4,37
00-0030313,,Nick Becton,2/11/1990,78,322,Virginia Tech,3,71
00-0030311,J.Mertile,Junior Mertile,10/26/1989,73,197,Florida International,1,49
00-0022724,S.McHugh,Sean McHugh,5/27/1982,77,265,Penn State,6,
00-0022725,M.Clayton,Michael Clayton,10/13/1982,75,202,LSU,8,
00-0022726,K.Colbert,Keary Colbert,5/21/1982,73,205,USC,7,
00-0022722,J.Siavii,Junior Siavii,11/14/1978,77,315,Oregon,6,
00-0022723,S.Phillips,Shaun Phillips,5/13/1981,75,255,Purdue,11,55
00-0022728,K.Chambers,Kirk Chambers,3/19/1979,79,315,Stanford,7,
00-0029848,N.Williams,Nick Williams,11/23/1990,70,184,Connecticut,3,15
00-0020278,M.Stewart,Matt Stewart,8/31/1979,75,239,Vanderbilt,10,
00-0020270,C.Buckhalter,Correll Buckhalter,10/6/1978,72,223,Nebraska,10,
00-0030957,,Casey Kreiter,8/13/1990,73,250,Iowa,1,42
00-0029847,M.Wallace,Martin Wallace,4/22/1990,78,311,Temple,2,64
00-0004851,G.Ellis,Greg Ellis,8/14/1975,78,265,North Carolina,12,
00-0031409,J.Manziel,Johnny Manziel,12/6/1992,72,210,Texas A&M,2,2
00-0031408,M.Evans,Mike Evans,8/21/1993,77,231,Texas A&M,3,13
00-0031401,J.Johnson,Jeremy Johnson,11/8/1991,72,179,Southern Methodist,1,
00-0031400,,Bryce Quigley,6/26/1992,76,302,San Diego State,1,66
00-0031403,J.Bromley,Jay Bromley,5/28/1992,75,310,Syracuse,3,96
00-0031402,Z.Martin,Zack Martin,11/20/1990,76,315,Notre Dame,3,70
00-0031405,D.Bronson,Demitrius Bronson,3/6/1990,70,210,Eastern Washington,1,30
00-0031404,A.Phillips,Adrian Phillips,3/28/1992,71,210,Texas,2,31
00-0031407,B.Bortles,Blake Bortles,4/28/1992,77,245,Central Florida,2,5
00-0032218,,Dorial Green-Beckham,4/12/1993,77,237,Oklahoma,2,17
00-0032211,,Tyler Lockett,9/28/1992,70,182,Kansas State,2,16
00-0027998,B.Harris,Brandon Harris,1/24/1990,70,189,Miami (Fla.),6,29
00-0032213,,Mike Reilly,12/14/1991,76,240,William & Mary,1,57
00-0032212,,Dexter McDonald,11/30/1991,73,200,Kansas,2,23
00-0032215,,Damien Wilson,5/28/1993,73,245,Minnesota,2,57
00-0032214,,Tyler Kroft,10/15/1992,78,246,Rutgers,2,81
00-0032217,,Donovan Smith,6/23/1993,78,338,Penn State,2,76
00-0027999,J.Mouton,Jonas Mouton,3/17/1988,74,240,Michigan,4,57
00-0032817,,Mitch Mathews,4/15/1991,77,222,Brigham Young,0,83
00-0032815,,Chris Hubert,5/8/1993,69,170,Fayetteville State,0,19
00-0032814,,Vernon Harris,6/25/1994,73,197,Dartmouth,0,48
00-0032813,,Elijhaa Penny,8/17/1993,74,234,Idaho,0,35
00-0032811,,Jake Bernstein,6/18/1993,75,308,Vanderbilt,0,64
00-0032810,,Kalan Reed,12/29/1993,71,192,Southern Mississippi,0,32
00-0031202,,Ben Gottschalk,2/15/1992,77,293,Southern Methodist,1,72
00-0032819,,Shakiel Randolph,2/14/1994,75,213,Southern Methodist,0,47
00-0028090,T.Yates,T.J. Yates,5/28/1987,76,217,North Carolina,5,6
00-0028091,J.Kerley,Jeremy Kerley,11/8/1988,69,188,Texas Christian,6,12
00-0028092,R.Sherman,Richard Sherman,3/30/1988,75,195,Stanford,6,25
00-0028093,N.Paul,Niles Paul,8/9/1989,73,242,Nebraska,6,84
00-0028094,M.LeGree,Mark LeGree,7/8/1989,72,211,Appalachian State,1,
00-0028095,D.Hogue,Doug Hogue,2/1/1989,74,245,Syracuse,3,
00-0028096,J.Hines,Jermale Hines,11/11/1987,73,222,Ohio State,2,
00-0028097,L.Smith,Lee Smith,11/21/1987,78,265,Marshall,6,86
00-0028098,N.Enderle,Nathan Enderle,1/12/1988,76,240,Idaho,2,
00-0028099,J.Vandervelde,Julian Vandervelde,10/7/1987,74,300,Iowa,4,61
00-0031548,,Kevin Johnson,8/5/1992,72,188,Wake Forest,2,30
00-0031549,,Nelson Agholor,5/24/1993,72,198,USC,2,17
00-0031200,,Courtney Bridget,3/22/1991,75,195,Hampton,2,0
00-0026610,P.Ittersagen,Pete Ittersagen,9/28/1985,70,191,Wheaton,3,
