esbid,firstName,auction,lastName,gsisPlayerId,rank,teamAbbr,position,id,stock
BRO000001,Antonio,62,Brown,00-0027793,1,PIT,WR,2508061,even
BEC573252,Odell,61,Beckham,00-0031235,2,NYG,WR,2543496,even
JON640315,Julio,59,Jones,00-0027944,3,ATL,WR,2495454,even
JOH174477,David,51,Johnson,00-0032187,4,ARI,RB,2553435,even
GUR000000,Todd,50,Gurley,00-0032241,5,LA,RB,2552475,even
GRE034604,A.J.,49,Green,00-0027942,6,CIN,WR,2495450,even
PET260705,Adrian,48,Peterson,00-0025394,7,MIN,RB,2507164,even
ELL289284,Ezekiel,47,Elliott,00-0033045,8,DAL,RB,2555224,even
GRO135948,Rob,46,Gronkowski,00-0027656,9,NE,TE,497240,even
BRY336027,Dez,46,Bryant,00-0027902,10,DAL,WR,497278,even
HOP161500,DeAndre,45,Hopkins,00-0030564,11,HOU,WR,2540165,even
MIL373118,Lamar,45,Miller,00-0029615,12,HOU,RB,2533034,even
FRE174508,Devonta,42,Freeman,00-0031285,13,ATL,RB,2543583,even
ROB365982,Allen,42,Robinson,00-0031428,14,JAX,WR,2543509,even
NEL517441,Jordy,39,Nelson,00-0026176,15,GB,WR,1032,even
LAC702361,Eddie,38,Lacy,00-0030485,16,GB,RB,2540168,even
CHA561428,Jamaal,35,Charles,00-0026213,17,KC,RB,925,even
ALL532966,Keenan,34,Allen,00-0030279,18,SD,WR,2540154,even
ING656964,Mark,33,Ingram,00-0027966,19,NO,RB,2495466,even
MAR578568,Doug,33,Martin,00-0029613,20,TB,RB,2532899,even
JEF498860,Alshon,32,Jeffery,00-0029137,21,CHI,WR,2533039,even
MAR370922,Brandon,32,Marshall,00-0024334,22,NYJ,WR,2495893,even
EVA534309,Mike,32,Evans,00-0031408,23,TB,WR,2543468,even
MCC620232,LeSean,31,McCoy,00-0027029,24,BUF,RB,79607,even
ROD339293,Aaron,31,Rodgers,00-0023459,25,GB,QB,2506363,even
NEW693984,Cam,31,Newton,00-0027939,26,CAR,QB,2495455,even
COO487703,Amari,28,Cooper,00-0031544,27,OAK,WR,2552487,even
THO095855,Demaryius,28,Thomas,00-0027874,28,DEN,WR,497328,even
BEL474300,Le'Veon,27,Bell,00-0030496,29,PIT,RB,2540175,even
AND163330,C.J.,27,Anderson,00-0029854,30,DEN,RB,2540269,even
HYD402541,Carlos,26,Hyde,00-0031045,31,SF,RB,2543743,even
FOR645404,Matt,25,Forte,00-0026184,32,NYJ,RB,234,even
WAT270480,Sammy,25,Watkins,00-0031325,33,BUF,WR,2543457,even
LAN163029,Jarvis,25,Landry,00-0031382,34,MIA,WR,2543488,even
COO299382,Brandin,24,Cooks,00-0031236,35,NO,WR,2543498,even
