Gamekey,Home_team,Away_Team,Day_of_week,Month,Day,Year,Week,Player_Short_Name,Player_Team,Home_Team,fumbles_rec,fumbles_yds,fumbles_rec_tds,fumbles_lost,fumble_lost_FF_pts,fumble_tds_FF_pts,total_FF_pts
55837,DEN,BAL,Thu,9,5,2013,1,W.Welker,DEN,True,0,0,0,1,-2.0,0.0,-2.0
55837,DEN,BAL,Thu,9,5,2013,1,E.Decker,DEN,True,0,0,0,0,0.0,0.0,0.0
55837,DEN,BAL,Thu,9,5,2013,1,D.Trevathan,DEN,True,0,0,0,1,-2.0,0.0,-2.0
55837,DEN,BAL,Thu,9,5,2013,1,J.Flacco,BAL,False,0,0,0,0,0.0,0.0,0.0
55837,DEN,BAL,Thu,9,5,2013,1,R.Wagner,BAL,False,0,0,0,0,0.0,0.0,0.0
55837,DEN,BAL,Thu,9,5,2013,1,M.Cox,BAL,False,0,0,0,0,0.0,0.0,0.0
55838,BUF,NE,Sun,9,8,2013,1,E.Manuel,BUF,True,0,0,0,0,0.0,0.0,0.0
55838,BUF,NE,Sun,9,8,2013,1,C.Spiller,BUF,True,0,0,0,1,-2.0,0.0,-2.0
55838,BUF,NE,Sun,9,8,2013,1,F.Jackson,BUF,True,0,0,0,0,0.0,0.0,0.0
55838,BUF,NE,Sun,9,8,2013,1,M.Goodwin,BUF,True,0,0,0,1,-2.0,0.0,-2.0
55838,BUF,NE,Sun,9,8,2013,1,K.Alonso,BUF,True,0,13,0,0,0.0,0.0,0.0
55838,BUF,NE,Sun,9,8,2013,1,D.Searcy,BUF,True,0,74,0,0,0.0,0.0,0.0
55838,BUF,NE,Sun,9,8,2013,1,T.Brady,NE,False,0,0,0,1,-2.0,0.0,-2.0
55838,BUF,NE,Sun,9,8,2013,1,S.Ridley,NE,False,0,0,0,1,-2.0,0.0,-2.0
55838,BUF,NE,Sun,9,8,2013,1,T.Kelly,NE,False,0,0,0,0,0.0,0.0,0.0
55838,BUF,NE,Sun,9,8,2013,1,R.Ninkovich,NE,False,0,3,0,0,0.0,0.0,0.0
55839,CAR,SEA,Sun,9,8,2013,1,D.Williams,CAR,True,0,0,0,1,-2.0,0.0,-2.0
55839,CAR,SEA,Sun,9,8,2013,1,C.Johnson,CAR,True,0,0,0,0,0.0,0.0,0.0
55839,CAR,SEA,Sun,9,8,2013,1,J.Thomas,CAR,True,0,0,0,1,-2.0,0.0,-2.0
55839,CAR,SEA,Sun,9,8,2013,1,R.Wilson,SEA,False,0,0,0,1,-2.0,0.0,-2.0
55839,CAR,SEA,Sun,9,8,2013,1,C.Maragos,SEA,False,0,0,0,0,0.0,0.0,0.0
55839,CAR,SEA,Sun,9,8,2013,1,T.McDaniel,SEA,False,0,0,0,0,0.0,0.0,0.0
55840,CHI,CIN,Sun,9,8,2013,1,T.Jennings,CHI,True,0,0,0,0,0.0,0.0,0.0
55840,CHI,CIN,Sun,9,8,2013,1,A.Green,CIN,False,0,0,0,0,0.0,0.0,0.0
55840,CHI,CIN,Sun,9,8,2013,1,M.Sanu,CIN,False,0,0,0,1,-2.0,0.0,-2.0
55841,CLE,MIA,Sun,9,8,2013,1,B.Weeden,CLE,True,0,0,0,0,0.0,0.0,0.0
55841,CLE,MIA,Sun,9,8,2013,1,T.Benjamin,CLE,True,0,0,0,0,0.0,0.0,0.0
55841,CLE,MIA,Sun,9,8,2013,1,J.Thomas,CLE,True,0,0,0,0,0.0,0.0,0.0
55842,DET,MIN,Sun,9,8,2013,1,M.Stafford,DET,True,0,-1,0,0,0.0,0.0,0.0
55842,DET,MIN,Sun,9,8,2013,1,S.Martin,DET,True,0,-9,0,0,0.0,0.0,0.0
55842,DET,MIN,Sun,9,8,2013,1,B.Pettigrew,DET,True,0,0,0,1,-2.0,0.0,-2.0
55842,DET,MIN,Sun,9,8,2013,1,N.Fairley,DET,True,0,0,0,0,0.0,0.0,0.0
55842,DET,MIN,Sun,9,8,2013,1,C.Ponder,MIN,False,0,0,0,1,-2.0,0.0,-2.0
55842,DET,MIN,Sun,9,8,2013,1,H.Smith,MIN,False,0,0,0,0,0.0,0.0,0.0
55844,JAC,KC,Sun,9,8,2013,1,A.Smith,KC,False,0,-7,0,0,0.0,0.0,0.0
55846,NYJ,TB,Sun,9,8,2013,1,G.Smith,NYJ,True,0,0,0,1,-2.0,0.0,-2.0
55846,NYJ,TB,Sun,9,8,2013,1,B.Powell,NYJ,True,0,0,0,0,0.0,0.0,0.0
55846,NYJ,TB,Sun,9,8,2013,1,S.Hill,NYJ,True,0,0,0,0,0.0,0.0,0.0
55846,NYJ,TB,Sun,9,8,2013,1,J.Freeman,TB,False,0,-8,0,0,0.0,0.0,0.0
55846,NYJ,TB,Sun,9,8,2013,1,D.Martin,TB,False,0,0,0,0,0.0,0.0,0.0
55846,NYJ,TB,Sun,9,8,2013,1,A.Spence,TB,False,0,0,0,0,0.0,0.0,0.0
55846,NYJ,TB,Sun,9,8,2013,1,J.Zuttah,TB,False,0,0,0,0,0.0,0.0,0.0
55845,NO,ATL,Sun,9,8,2013,1,R.Harper,NO,True,0,19,0,0,0.0,0.0,0.0
55845,NO,ATL,Sun,9,8,2013,1,H.Douglas,ATL,False,0,0,0,0,0.0,0.0,0.0
55845,NO,ATL,Sun,9,8,2013,1,J.Jones,ATL,False,0,0,0,1,-2.0,0.0,-2.0
55847,PIT,TEN,Sun,9,8,2013,1,I.Redman,PIT,True,0,0,0,1,-2.0,0.0,-2.0
55847,PIT,TEN,Sun,9,8,2013,1,D.Walker,TEN,False,0,0,0,0,0.0,0.0,0.0
55847,PIT,TEN,Sun,9,8,2013,1,M.Fokou,TEN,False,0,0,0,0,0.0,0.0,0.0
55848,STL,ARI,Sun,9,8,2013,1,S.Bradford,STL,True,0,0,0,0,0.0,0.0,0.0
55848,STL,ARI,Sun,9,8,2013,1,D.Richardson,STL,True,0,0,0,0,0.0,0.0,0.0
55848,STL,ARI,Sun,9,8,2013,1,J.Cook,STL,True,0,0,0,1,-2.0,0.0,-2.0
55848,STL,ARI,Sun,9,8,2013,1,C.Long,STL,True,0,0,0,0,0.0,0.0,0.0
55848,STL,ARI,Sun,9,8,2013,1,C.Palmer,ARI,False,0,0,0,1,-2.0,0.0,-2.0
55848,STL,ARI,Sun,9,8,2013,1,A.Smith,ARI,False,0,0,0,0,0.0,0.0,0.0
55848,STL,ARI,Sun,9,8,2013,1,T.Jefferson,ARI,False,0,0,0,0,0.0,0.0,0.0
55848,STL,ARI,Sun,9,8,2013,1,J.Arenas,ARI,False,0,0,0,0,0.0,0.0,0.0
55848,STL,ARI,Sun,9,8,2013,1,L.Brown,ARI,False,0,0,0,0,0.0,0.0,0.0
55848,STL,ARI,Sun,9,8,2013,1,K.Dansby,ARI,False,0,0,0,0,0.0,0.0,0.0
55849,SF,GB,Sun,9,8,2013,1,T.Brown,SF,True,0,0,0,0,0.0,0.0,0.0
55849,SF,GB,Sun,9,8,2013,1,E.Lacy,GB,False,0,0,0,1,-2.0,0.0,-2.0
55850,DAL,NYG,Sun,9,8,2013,1,T.Romo,DAL,True,0,-1,0,0,0.0,0.0,0.0
55850,DAL,NYG,Sun,9,8,2013,1,P.Tanner,DAL,True,0,0,0,0,0.0,0.0,0.0
55850,DAL,NYG,Sun,9,8,2013,1,G.Escobar,DAL,True,0,0,0,0,0.0,0.0,0.0
55850,DAL,NYG,Sun,9,8,2013,1,B.Church,DAL,True,0,27,0,0,0.0,0.0,0.0
55850,DAL,NYG,Sun,9,8,2013,1,G.Selvie,DAL,True,0,0,0,0,0.0,0.0,0.0
55850,DAL,NYG,Sun,9,8,2013,1,D.Holloman,DAL,True,0,0,0,0,0.0,0.0,0.0
55850,DAL,NYG,Sun,9,8,2013,1,D.Wilson,NYG,False,0,0,0,2,-4.0,0.0,-4.0
55850,DAL,NYG,Sun,9,8,2013,1,T.McBride,NYG,False,0,0,0,1,-2.0,0.0,-2.0
55851,WAS,PHI,Mon,9,9,2013,1,R.Griffin,WAS,True,0,-5,0,0,0.0,0.0,0.0
55851,WAS,PHI,Mon,9,9,2013,1,A.Morris,WAS,True,0,0,0,1,-2.0,0.0,-2.0
55851,WAS,PHI,Mon,9,9,2013,1,P.Riley,WAS,True,0,6,0,0,0.0,0.0,0.0
55851,WAS,PHI,Mon,9,9,2013,1,D.Hall,WAS,True,0,75,0,0,0.0,0.0,0.0
55851,WAS,PHI,Mon,9,9,2013,1,M.Vick,PHI,False,0,0,0,1,-2.0,0.0,-2.0
55851,WAS,PHI,Mon,9,9,2013,1,J.Avant,PHI,False,0,0,0,1,-2.0,0.0,-2.0
55851,WAS,PHI,Mon,9,9,2013,1,M.Kendricks,PHI,False,0,0,0,0,0.0,0.0,0.0
55853,NE,NYJ,Thu,9,12,2013,2,J.Edelman,NE,True,0,0,0,0,0.0,0.0,0.0
55853,NE,NYJ,Thu,9,12,2013,2,D.McCourty,NE,True,0,44,0,0,0.0,0.0,0.0
55853,NE,NYJ,Thu,9,12,2013,2,C.Ivory,NYJ,False,0,0,0,0,0.0,0.0,0.0
55853,NE,NYJ,Thu,9,12,2013,2,S.Hill,NYJ,False,0,0,0,1,-2.0,0.0,-2.0
55853,NE,NYJ,Thu,9,12,2013,2,J.Cumberland,NYJ,False,0,0,0,0,0.0,0.0,0.0
55855,BAL,CLE,Sun,9,15,2013,2,R.Rice,BAL,True,0,0,0,1,-2.0,0.0,-2.0
55855,BAL,CLE,Sun,9,15,2013,2,D.Jackson,CLE,False,0,0,0,0,0.0,0.0,0.0
55856,BUF,CAR,Sun,9,15,2013,2,E.Manuel,BUF,True,0,0,0,1,-2.0,0.0,-2.0
55856,BUF,CAR,Sun,9,15,2013,2,D.Edwards,CAR,False,0,0,0,0,0.0,0.0,0.0
55857,CHI,MIN,Sun,9,15,2013,2,J.Cutler,CHI,True,0,0,0,1,-2.0,0.0,-2.0
55857,CHI,MIN,Sun,9,15,2013,2,M.Forte,CHI,True,0,0,0,1,-2.0,0.0,-2.0
55857,CHI,MIN,Sun,9,15,2013,2,C.Wootton,CHI,True,0,0,0,0,0.0,0.0,0.0
55857,CHI,MIN,Sun,9,15,2013,2,B.Costanzo,CHI,True,0,0,0,0,0.0,0.0,0.0
55857,CHI,MIN,Sun,9,15,2013,2,A.Peterson,MIN,False,0,0,0,1,-2.0,0.0,-2.0
55857,CHI,MIN,Sun,9,15,2013,2,J.Carlson,MIN,False,0,0,0,1,-2.0,0.0,-2.0
55857,CHI,MIN,Sun,9,15,2013,2,L.Guion,MIN,False,0,0,0,0,0.0,0.0,0.0
55857,CHI,MIN,Sun,9,15,2013,2,B.Robison,MIN,False,0,61,0,0,0.0,0.0,0.0
55858,GB,WAS,Sun,9,15,2013,2,J.Jones,GB,True,0,0,0,1,-2.0,0.0,-2.0
55859,HOU,TEN,Sun,9,15,2013,2,J.Locker,TEN,False,0,-12,0,0,0.0,0.0,0.0
55860,IND,MIA,Sun,9,15,2013,2,A.Luck,IND,True,0,0,0,0,0.0,0.0,0.0
