Gamekey,Home_team,Away_Team,Day_of_week,Month,Day,Year,Week,Player_Short_Name,Player_Team,Home_Team,rushing_yds,rushing_tds,rushing_twoptm,rushing_yds_FF_pts,rushing_tds_FF_pts,rushing_twoptm_FF_pts,total_FF_pts
55837,DEN,BAL,Thu,9,5,2013,1,P.Manning,DEN,True,-2,0,0,-1.0,0.0,0.0,-1.0
55837,DEN,BAL,Thu,9,5,2013,1,K.Moreno,DEN,True,28,0,0,2.0,0.0,0.0,2.0
55837,DEN,BAL,Thu,9,5,2013,1,M.Ball,DEN,True,24,0,0,2.0,0.0,0.0,2.0
55837,DEN,BAL,Thu,9,5,2013,1,R.Hillman,DEN,True,15,0,0,1.0,0.0,0.0,1.0
55837,DEN,BAL,Thu,9,5,2013,1,R.Rice,BAL,False,36,1,0,3.0,6.0,0.0,9.0
55837,DEN,BAL,Thu,9,5,2013,1,B.Pierce,BAL,False,22,0,0,2.0,0.0,0.0,2.0
55838,BUF,NE,Sun,9,8,2013,1,E.Manuel,BUF,True,23,0,0,2.0,0.0,0.0,2.0
55838,BUF,NE,Sun,9,8,2013,1,C.Spiller,BUF,True,41,0,0,4.0,0.0,0.0,4.0
55838,BUF,NE,Sun,9,8,2013,1,T.Graham,BUF,True,5,0,0,0.0,0.0,0.0,0.0
55838,BUF,NE,Sun,9,8,2013,1,F.Jackson,BUF,True,67,0,0,6.0,0.0,0.0,6.0
55838,BUF,NE,Sun,9,8,2013,1,T.Brady,NE,False,-4,0,0,-1.0,0.0,0.0,-1.0
55838,BUF,NE,Sun,9,8,2013,1,S.Vereen,NE,False,101,0,0,10.0,0.0,0.0,10.0
55838,BUF,NE,Sun,9,8,2013,1,S.Ridley,NE,False,46,0,0,4.0,0.0,0.0,4.0
55838,BUF,NE,Sun,9,8,2013,1,L.Blount,NE,False,15,0,0,1.0,0.0,0.0,1.0
55839,CAR,SEA,Sun,9,8,2013,1,C.Newton,CAR,True,38,0,0,3.0,0.0,0.0,3.0
55839,CAR,SEA,Sun,9,8,2013,1,M.Tolbert,CAR,True,10,0,0,1.0,0.0,0.0,1.0
55839,CAR,SEA,Sun,9,8,2013,1,D.Williams,CAR,True,76,0,0,7.0,0.0,0.0,7.0
55839,CAR,SEA,Sun,9,8,2013,1,R.Wilson,SEA,False,7,0,0,0.0,0.0,0.0,0.0
55839,CAR,SEA,Sun,9,8,2013,1,M.Lynch,SEA,False,43,0,0,4.0,0.0,0.0,4.0
55839,CAR,SEA,Sun,9,8,2013,1,R.Turbin,SEA,False,17,0,0,1.0,0.0,0.0,1.0
55839,CAR,SEA,Sun,9,8,2013,1,D.Baldwin,SEA,False,3,0,0,0.0,0.0,0.0,0.0
55840,CHI,CIN,Sun,9,8,2013,1,J.Cutler,CHI,True,16,0,0,1.0,0.0,0.0,1.0
55840,CHI,CIN,Sun,9,8,2013,1,M.Forte,CHI,True,50,1,0,5.0,6.0,0.0,11.0
55840,CHI,CIN,Sun,9,8,2013,1,M.Bush,CHI,True,15,0,0,1.0,0.0,0.0,1.0
55840,CHI,CIN,Sun,9,8,2013,1,A.Dalton,CIN,False,2,0,0,0.0,0.0,0.0,0.0
55840,CHI,CIN,Sun,9,8,2013,1,M.Jones,CIN,False,14,0,0,1.0,0.0,0.0,1.0
55840,CHI,CIN,Sun,9,8,2013,1,G.Bernard,CIN,False,22,0,0,2.0,0.0,0.0,2.0
55840,CHI,CIN,Sun,9,8,2013,1,B.Green-Ellis,CIN,False,25,1,0,2.0,6.0,0.0,8.0
55841,CLE,MIA,Sun,9,8,2013,1,T.Richardson,CLE,True,47,0,0,4.0,0.0,0.0,4.0
55841,CLE,MIA,Sun,9,8,2013,1,R.Tannehill,MIA,False,3,0,0,0.0,0.0,0.0,0.0
55841,CLE,MIA,Sun,9,8,2013,1,L.Miller,MIA,False,3,0,0,0.0,0.0,0.0,0.0
55841,CLE,MIA,Sun,9,8,2013,1,D.Thomas,MIA,False,14,1,0,1.0,6.0,0.0,7.0
55842,DET,MIN,Sun,9,8,2013,1,M.Stafford,DET,True,2,0,0,0.0,0.0,0.0,0.0
55842,DET,MIN,Sun,9,8,2013,1,S.Martin,DET,True,0,0,0,0.0,0.0,0.0,0.0
55842,DET,MIN,Sun,9,8,2013,1,R.Bush,DET,True,90,0,0,9.0,0.0,0.0,9.0
55842,DET,MIN,Sun,9,8,2013,1,J.Bell,DET,True,25,2,0,2.0,12.0,0.0,14.0
