Home,Away,Week,Year
DEN,BAL,1,2013
BUF,NE,1,2013
CAR,SEA,1,2013
CHI,CIN,1,2013
CLE,MIA,1,2013
DET,MIN,1,2013
IND,OAK,1,2013
JAC,KC,1,2013
NYJ,TB,1,2013
NO,ATL,1,2013
PIT,TEN,1,2013
STL,ARI,1,2013
SF,GB,1,2013
DAL,NYG,1,2013
WAS,PHI,1,2013
SD,HOU,1,2013
NE,NYJ,2,2013
ATL,STL,2,2013
BAL,CLE,2,2013
BUF,CAR,2,2013
CHI,MIN,2,2013
GB,WAS,2,2013
HOU,TEN,2,2013
IND,MIA,2,2013
KC,DAL,2,2013
PHI,SD,2,2013
ARI,DET,2,2013
TB,NO,2,2013
NYG,DEN,2,2013
OAK,JAC,2,2013
SEA,SF,2,2013
CIN,PIT,2,2013
PHI,KC,3,2013
BAL,HOU,3,2013
CIN,GB,3,2013
DAL,STL,3,2013
MIA,ATL,3,2013
MIN,CLE,3,2013
NYJ,BUF,3,2013
NE,TB,3,2013
NO,ARI,3,2013
TEN,SD,3,2013
WAS,DET,3,2013
CAR,NYG,3,2013
SF,IND,3,2013
SEA,JAC,3,2013
PIT,CHI,3,2013
DEN,OAK,3,2013
STL,SF,4,2013
BUF,BAL,4,2013
CLE,CIN,4,2013
DET,CHI,4,2013
HOU,SEA,4,2013
JAC,IND,4,2013
KC,NYG,4,2013
MIN,PIT,4,2013
TB,ARI,4,2013
TEN,NYJ,4,2013
DEN,PHI,4,2013
OAK,WAS,4,2013
SD,DAL,4,2013
ATL,NE,4,2013
NO,MIA,4,2013
CLE,BUF,5,2013
CHI,NO,5,2013
CIN,NE,5,2013
GB,DET,5,2013
IND,SEA,5,2013
MIA,BAL,5,2013
NYG,PHI,5,2013
STL,JAC,5,2013
TEN,KC,5,2013
ARI,CAR,5,2013
DAL,DEN,5,2013
OAK,SD,5,2013
SF,HOU,5,2013
ATL,NYJ,5,2013
CHI,NYG,6,2013
BAL,GB,6,2013
BUF,CIN,6,2013
CLE,DET,6,2013
HOU,STL,6,2013
KC,OAK,6,2013
MIN,CAR,6,2013
NYJ,PIT,6,2013
TB,PHI,6,2013
DEN,JAC,6,2013
SEA,TEN,6,2013
NE,NO,6,2013
SF,ARI,6,2013
DAL,WAS,6,2013
SD,IND,6,2013
ARI,SEA,7,2013
ATL,TB,7,2013
CAR,STL,7,2013
DET,CIN,7,2013
GB,CLE,7,2013
JAC,SD,7,2013
KC,HOU,7,2013
MIA,BUF,7,2013
NYJ,NE,7,2013
PHI,DAL,7,2013
WAS,CHI,7,2013
TEN,SF,7,2013
PIT,BAL,7,2013
IND,DEN,7,2013
NYG,MIN,7,2013
TB,CAR,8,2013
DET,DAL,8,2013
JAC,SF,8,2013
KC,CLE,8,2013
NE,MIA,8,2013
NO,BUF,8,2013
PHI,NYG,8,2013
OAK,PIT,8,2013
CIN,NYJ,8,2013
ARI,ATL,8,2013
DEN,WAS,8,2013
MIN,GB,8,2013
STL,SEA,8,2013
MIA,CIN,9,2013
BUF,KC,9,2013
CAR,ATL,9,2013
DAL,MIN,9,2013
NYJ,NO,9,2013
STL,TEN,9,2013
WAS,SD,9,2013
OAK,PHI,9,2013
SEA,TB,9,2013
CLE,BAL,9,2013
NE,PIT,9,2013
HOU,IND,9,2013
GB,CHI,9,2013
MIN,WAS,10,2013
ATL,SEA,10,2013
BAL,CIN,10,2013
CHI,DET,10,2013
GB,PHI,10,2013
IND,STL,10,2013
NYG,OAK,10,2013
PIT,BUF,10,2013
TEN,JAC,10,2013
SF,CAR,10,2013
ARI,HOU,10,2013
SD,DEN,10,2013
NO,DAL,10,2013
TB,MIA,10,2013
TEN,IND,11,2013
BUF,NYJ,11,2013
CHI,BAL,11,2013
CIN,CLE,11,2013
HOU,OAK,11,2013
JAC,ARI,11,2013
MIA,SD,11,2013
PHI,WAS,11,2013
PIT,DET,11,2013
TB,ATL,11,2013
DEN,KC,11,2013
NO,SF,11,2013
SEA,MIN,11,2013
NYG,GB,11,2013
CAR,NE,11,2013
ATL,NO,12,2013
BAL,NYJ,12,2013
CLE,PIT,12,2013
DET,TB,12,2013
GB,MIN,12,2013
HOU,JAC,12,2013
KC,SD,12,2013
MIA,CAR,12,2013
STL,CHI,12,2013
ARI,IND,12,2013
OAK,TEN,12,2013
NYG,DAL,12,2013
NE,DEN,12,2013
WAS,SF,12,2013
DET,GB,13,2013
DAL,OAK,13,2013
BAL,PIT,13,2013
CAR,TB,13,2013
CLE,JAC,13,2013
IND,TEN,13,2013
KC,DEN,13,2013
MIN,CHI,13,2013
NYJ,MIA,13,2013
PHI,ARI,13,2013
BUF,ATL,13,2013
SF,STL,13,2013
HOU,NE,13,2013
SD,CIN,13,2013
WAS,NYG,13,2013
SEA,NO,13,2013
JAC,HOU,14,2013
BAL,MIN,14,2013
CIN,IND,14,2013
NE,CLE,14,2013
NYJ,OAK,14,2013
NO,CAR,14,2013
PHI,DET,14,2013
PIT,MIA,14,2013
TB,BUF,14,2013
WAS,KC,14,2013
DEN,TEN,14,2013
ARI,STL,14,2013
SD,NYG,14,2013
SF,SEA,14,2013
GB,ATL,14,2013
CHI,DAL,14,2013
DEN,SD,15,2013
ATL,WAS,15,2013
CLE,CHI,15,2013
IND,HOU,15,2013
JAC,BUF,15,2013
MIA,NE,15,2013
MIN,PHI,15,2013
NYG,SEA,15,2013
STL,NO,15,2013
TB,SF,15,2013
TEN,ARI,15,2013
CAR,NYJ,15,2013
OAK,KC,15,2013
DAL,GB,15,2013
PIT,CIN,15,2013
DET,BAL,15,2013
BUF,MIA,16,2013
CAR,NO,16,2013
CIN,MIN,16,2013
HOU,DEN,16,2013
JAC,TEN,16,2013
KC,IND,16,2013
NYJ,CLE,16,2013
PHI,CHI,16,2013
STL,TB,16,2013
WAS,DAL,16,2013
DET,NYG,16,2013
SEA,ARI,16,2013
GB,PIT,16,2013
SD,OAK,16,2013
BAL,NE,16,2013
SF,ATL,16,2013
ATL,CAR,17,2013
CHI,GB,17,2013
CIN,BAL,17,2013
DAL,PHI,17,2013
IND,JAC,17,2013
MIA,NYJ,17,2013
MIN,DET,17,2013
NE,BUF,17,2013
NO,TB,17,2013
NYG,WAS,17,2013
PIT,CLE,17,2013
TEN,HOU,17,2013
ARI,SF,17,2013
OAK,DEN,17,2013
SD,KC,17,2013
SEA,STL,17,2013
SEA,GB,1,2014
ATL,NO,1,2014
BAL,CIN,1,2014
CHI,BUF,1,2014
HOU,WAS,1,2014
KC,TEN,1,2014
MIA,NE,1,2014
NYJ,OAK,1,2014
PHI,JAC,1,2014
PIT,CLE,1,2014
STL,MIN,1,2014
DAL,SF,1,2014
TB,CAR,1,2014
DEN,IND,1,2014
DET,NYG,1,2014
ARI,SD,1,2014
BAL,PIT,2,2014
BUF,MIA,2,2014
CAR,DET,2,2014
CIN,ATL,2,2014
CLE,NO,2,2014
MIN,NE,2,2014
NYG,ARI,2,2014
TEN,DAL,2,2014
WAS,JAC,2,2014
SD,SEA,2,2014
TB,STL,2,2014
DEN,KC,2,2014
GB,NYJ,2,2014
OAK,HOU,2,2014
SF,CHI,2,2014
IND,PHI,2,2014
ATL,TB,3,2014
BUF,SD,3,2014
CIN,TEN,3,2014
CLE,BAL,3,2014
DET,GB,3,2014
JAC,IND,3,2014
NE,OAK,3,2014
NO,MIN,3,2014
NYG,HOU,3,2014
PHI,WAS,3,2014
STL,DAL,3,2014
ARI,SF,3,2014
MIA,KC,3,2014
SEA,DEN,3,2014
CAR,PIT,3,2014
NYJ,CHI,3,2014
WAS,NYG,4,2014
BAL,CAR,4,2014
CHI,GB,4,2014
HOU,BUF,4,2014
IND,TEN,4,2014
MIN,ATL,4,2014
NYJ,DET,4,2014
OAK,MIA,4,2014
PIT,TB,4,2014
SD,JAC,4,2014
SF,PHI,4,2014
DAL,NO,4,2014
KC,NE,4,2014
GB,MIN,5,2014
CAR,CHI,5,2014
DAL,HOU,5,2014
DET,BUF,5,2014
IND,BAL,5,2014
JAC,PIT,5,2014
NO,TB,5,2014
NYG,ATL,5,2014
PHI,STL,5,2014
TEN,CLE,5,2014
DEN,ARI,5,2014
SD,NYJ,5,2014
SF,KC,5,2014
NE,CIN,5,2014
WAS,SEA,5,2014
HOU,IND,6,2014
ATL,CHI,6,2014
BUF,NE,6,2014
CIN,CAR,6,2014
CLE,PIT,6,2014
MIA,GB,6,2014
MIN,DET,6,2014
NYJ,DEN,6,2014
TB,BAL,6,2014
TEN,JAC,6,2014
OAK,SD,6,2014
ARI,WAS,6,2014
SEA,DAL,6,2014
PHI,NYG,6,2014
STL,SF,6,2014
NE,NYJ,7,2014
BAL,ATL,7,2014
BUF,MIN,7,2014
CHI,MIA,7,2014
DET,NO,7,2014
GB,CAR,7,2014
IND,CIN,7,2014
JAC,CLE,7,2014
STL,SEA,7,2014
WAS,TEN,7,2014
SD,KC,7,2014
DAL,NYG,7,2014
OAK,ARI,7,2014
DEN,SF,7,2014
PIT,HOU,7,2014
DEN,SD,8,2014
ATL,DET,8,2014
CAR,SEA,8,2014
CIN,BAL,8,2014
JAC,MIA,8,2014
KC,STL,8,2014
NE,CHI,8,2014
NYJ,BUF,8,2014
TB,MIN,8,2014
TEN,HOU,8,2014
ARI,PHI,8,2014
CLE,OAK,8,2014
PIT,IND,8,2014
NO,GB,8,2014
DAL,WAS,8,2014
CAR,NO,9,2014
CIN,JAC,9,2014
CLE,TB,9,2014
DAL,ARI,9,2014
HOU,PHI,9,2014
KC,NYJ,9,2014
MIA,SD,9,2014
MIN,WAS,9,2014
SF,STL,9,2014
NE,DEN,9,2014
SEA,OAK,9,2014
PIT,BAL,9,2014
NYG,IND,9,2014
CIN,CLE,10,2014
BAL,TEN,10,2014
BUF,KC,10,2014
DET,MIA,10,2014
JAC,DAL,10,2014
NO,SF,10,2014
NYJ,PIT,10,2014
TB,ATL,10,2014
OAK,DEN,10,2014
ARI,STL,10,2014
SEA,NYG,10,2014
GB,CHI,10,2014
PHI,CAR,10,2014
MIA,BUF,11,2014
CAR,ATL,11,2014
CHI,MIN,11,2014
CLE,HOU,11,2014
GB,PHI,11,2014
KC,SEA,11,2014
NO,CIN,11,2014
NYG,SF,11,2014
STL,DEN,11,2014
WAS,TB,11,2014
SD,OAK,11,2014
ARI,DET,11,2014
IND,NE,11,2014
TEN,PIT,11,2014
OAK,KC,12,2014
ATL,CLE,12,2014
BUF,NYJ,12,2014
CHI,TB,12,2014
HOU,CIN,12,2014
IND,JAC,12,2014
MIN,GB,12,2014
NE,DET,12,2014
PHI,TEN,12,2014
SD,STL,12,2014
SEA,ARI,12,2014
DEN,MIA,12,2014
SF,WAS,12,2014
NYG,DAL,12,2014
NO,BAL,12,2014
DET,CHI,13,2014
DAL,PHI,13,2014
SF,SEA,13,2014
BAL,SD,13,2014
BUF,CLE,13,2014
HOU,TEN,13,2014
IND,WAS,13,2014
JAC,NYG,13,2014
MIN,CAR,13,2014
