Gamekey,Home_team,Away_Team,Day_of_week,Month,Day,Year,Week,Player_Short_Name,Player_Team,Home_Team,passing_att,passing_incmp,passing_cmp,passing_tds,passing_int,passing_yds,passing_twoptm,passing_yds_FF_pts,passing_tds_FF_pts,passing_twopt_FF_pts,intercept_FF_pts,total_FF_pts
55837,DEN,BAL,Thu,9,5,2013,1,P.Manning,DEN,True,42,0,27,7,0,462,0,18.0,28.0,0.0,0.0,46.0
55837,DEN,BAL,Thu,9,5,2013,1,J.Flacco,BAL,False,62,0,34,2,2,362,0,14.0,8.0,0.0,-2.0,20.0
55838,BUF,NE,Sun,9,8,2013,1,E.Manuel,BUF,True,27,0,18,2,0,150,0,6.0,8.0,0.0,0.0,14.0
55838,BUF,NE,Sun,9,8,2013,1,T.Brady,NE,False,52,0,29,2,1,288,0,11.0,8.0,0.0,-1.0,18.0
55839,CAR,SEA,Sun,9,8,2013,1,C.Newton,CAR,True,23,0,16,1,0,125,0,5.0,4.0,0.0,0.0,9.0
55839,CAR,SEA,Sun,9,8,2013,1,R.Wilson,SEA,False,33,0,25,1,0,320,0,12.0,4.0,0.0,0.0,16.0
55840,CHI,CIN,Sun,9,8,2013,1,J.Cutler,CHI,True,33,0,21,2,1,242,0,9.0,8.0,0.0,-1.0,16.0
55840,CHI,CIN,Sun,9,8,2013,1,A.Dalton,CIN,False,33,0,26,2,2,282,0,11.0,8.0,0.0,-2.0,17.0
55841,CLE,MIA,Sun,9,8,2013,1,B.Weeden,CLE,True,53,0,26,1,3,289,0,11.0,4.0,0.0,-3.0,12.0
55841,CLE,MIA,Sun,9,8,2013,1,R.Tannehill,MIA,False,38,0,24,1,1,272,0,10.0,4.0,0.0,-1.0,13.0
55842,DET,MIN,Sun,9,8,2013,1,M.Stafford,DET,True,43,0,28,2,1,357,0,14.0,8.0,0.0,-1.0,21.0
55842,DET,MIN,Sun,9,8,2013,1,C.Ponder,MIN,False,28,0,18,1,3,236,0,9.0,4.0,0.0,-3.0,10.0
55843,IND,OAK,Sun,9,8,2013,1,A.Luck,IND,True,23,0,18,2,0,178,0,7.0,8.0,0.0,0.0,15.0
55843,IND,OAK,Sun,9,8,2013,1,T.Pryor,OAK,False,29,0,19,1,2,217,0,8.0,4.0,0.0,-2.0,10.0
55844,JAC,KC,Sun,9,8,2013,1,C.Henne,JAC,True,6,0,3,0,0,36,0,1.0,0.0,0.0,0.0,1.0
55844,JAC,KC,Sun,9,8,2013,1,B.Gabbert,JAC,True,35,0,16,0,2,121,0,4.0,0.0,0.0,-2.0,2.0
55844,JAC,KC,Sun,9,8,2013,1,A.Smith,KC,False,34,0,21,2,0,173,0,6.0,8.0,0.0,0.0,14.0
55846,NYJ,TB,Sun,9,8,2013,1,G.Smith,NYJ,True,38,0,24,1,1,256,0,10.0,4.0,0.0,-1.0,13.0
55846,NYJ,TB,Sun,9,8,2013,1,J.Kerley,NYJ,True,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
55846,NYJ,TB,Sun,9,8,2013,1,J.Freeman,TB,False,31,0,15,1,1,210,0,8.0,4.0,0.0,-1.0,11.0
55845,NO,ATL,Sun,9,8,2013,1,D.Brees,NO,True,35,0,26,2,1,357,0,14.0,8.0,0.0,-1.0,21.0
55845,NO,ATL,Sun,9,8,2013,1,M.Ryan,ATL,False,38,0,25,2,1,304,0,12.0,8.0,0.0,-1.0,19.0
55847,PIT,TEN,Sun,9,8,2013,1,B.Roethlisberger,PIT,True,33,0,21,1,1,191,0,7.0,4.0,0.0,-1.0,10.0
55847,PIT,TEN,Sun,9,8,2013,1,J.Locker,TEN,False,20,0,11,0,0,125,0,5.0,0.0,0.0,0.0,5.0
55848,STL,ARI,Sun,9,8,2013,1,S.Bradford,STL,True,38,0,27,2,1,299,0,11.0,8.0,0.0,-1.0,18.0
55848,STL,ARI,Sun,9,8,2013,1,C.Palmer,ARI,False,40,0,26,2,1,327,0,13.0,8.0,0.0,-1.0,20.0
55849,SF,GB,Sun,9,8,2013,1,C.Kaepernick,SF,True,39,0,27,3,0,412,0,16.0,12.0,0.0,0.0,28.0
55849,SF,GB,Sun,9,8,2013,1,A.Rodgers,GB,False,37,0,21,3,1,333,0,13.0,12.0,0.0,-1.0,24.0
55850,DAL,NYG,Sun,9,8,2013,1,T.Romo,DAL,True,49,0,36,2,1,263,0,10.0,8.0,0.0,-1.0,17.0
55850,DAL,NYG,Sun,9,8,2013,1,E.Manning,NYG,False,42,0,27,4,3,450,0,18.0,16.0,0.0,-3.0,31.0
55851,WAS,PHI,Mon,9,9,2013,1,R.Griffin,WAS,True,49,0,30,2,2,329,0,13.0,8.0,0.0,-2.0,19.0
55851,WAS,PHI,Mon,9,9,2013,1,M.Vick,PHI,False,25,0,15,2,0,203,0,8.0,8.0,0.0,0.0,16.0
55852,SD,HOU,Mon,9,9,2013,1,P.Rivers,SD,True,29,0,14,4,1,195,0,7.0,16.0,0.0,-1.0,22.0
55852,SD,HOU,Mon,9,9,2013,1,M.Schaub,HOU,False,45,0,34,3,1,346,0,13.0,12.0,0.0,-1.0,24.0
55853,NE,NYJ,Thu,9,12,2013,2,T.Brady,NE,True,39,0,19,1,0,185,0,7.0,4.0,0.0,0.0,11.0
55853,NE,NYJ,Thu,9,12,2013,2,G.Smith,NYJ,False,35,0,15,0,3,214,0,8.0,0.0,0.0,-3.0,5.0
55854,ATL,STL,Sun,9,15,2013,2,M.Ryan,ATL,True,43,0,33,2,0,374,0,14.0,8.0,0.0,0.0,22.0
55854,ATL,STL,Sun,9,15,2013,2,S.Bradford,STL,False,55,0,32,3,1,352,0,14.0,12.0,0.0,-1.0,25.0
55855,BAL,CLE,Sun,9,15,2013,2,J.Flacco,BAL,True,33,0,22,1,0,211,0,8.0,4.0,0.0,0.0,12.0
55855,BAL,CLE,Sun,9,15,2013,2,J.Campbell,CLE,False,4,0,1,0,0,6,0,0.0,0.0,0.0,0.0,0.0
55855,BAL,CLE,Sun,9,15,2013,2,B.Weeden,CLE,False,33,0,21,0,0,227,0,9.0,0.0,0.0,0.0,9.0
55856,BUF,CAR,Sun,9,15,2013,2,E.Manuel,BUF,True,39,0,27,1,1,296,1,11.0,4.0,2.0,-1.0,16.0
55856,BUF,CAR,Sun,9,15,2013,2,C.Newton,CAR,False,38,0,21,2,1,229,0,9.0,8.0,0.0,-1.0,16.0
55857,CHI,MIN,Sun,9,15,2013,2,J.Cutler,CHI,True,39,0,28,3,2,290,0,11.0,12.0,0.0,-2.0,21.0
55857,CHI,MIN,Sun,9,15,2013,2,C.Ponder,MIN,False,30,0,16,1,1,227,0,9.0,4.0,0.0,-1.0,12.0
55858,GB,WAS,Sun,9,15,2013,2,A.Rodgers,GB,True,42,0,34,4,0,480,0,19.0,16.0,0.0,0.0,35.0
55858,GB,WAS,Sun,9,15,2013,2,R.Griffin,WAS,False,40,0,26,3,1,320,0,12.0,12.0,0.0,-1.0,23.0
55859,HOU,TEN,Sun,9,15,2013,2,M.Schaub,HOU,True,48,0,26,3,2,298,0,11.0,12.0,0.0,-2.0,21.0
55859,HOU,TEN,Sun,9,15,2013,2,J.Locker,TEN,False,30,0,17,2,0,148,0,5.0,8.0,0.0,0.0,13.0
55860,IND,MIA,Sun,9,15,2013,2,A.Luck,IND,True,43,0,25,1,1,321,0,12.0,4.0,0.0,-1.0,15.0
55860,IND,MIA,Sun,9,15,2013,2,R.Tannehill,MIA,False,34,0,23,1,0,319,0,12.0,4.0,0.0,0.0,16.0
55861,KC,DAL,Sun,9,15,2013,2,A.Smith,KC,True,36,0,21,2,0,223,0,8.0,8.0,0.0,0.0,16.0
55861,KC,DAL,Sun,9,15,2013,2,T.Romo,DAL,False,42,0,30,1,0,298,0,11.0,4.0,0.0,0.0,15.0
55862,PHI,SD,Sun,9,15,2013,2,N.Foles,PHI,True,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
55862,PHI,SD,Sun,9,15,2013,2,M.Vick,PHI,True,37,0,24,2,0,428,0,17.0,8.0,0.0,0.0,25.0
55862,PHI,SD,Sun,9,15,2013,2,P.Rivers,SD,False,47,0,36,3,0,419,0,16.0,12.0,0.0,0.0,28.0
55863,ARI,DET,Sun,9,15,2013,2,C.Palmer,ARI,True,39,0,22,1,1,248,0,9.0,4.0,0.0,-1.0,12.0
55863,ARI,DET,Sun,9,15,2013,2,P.Peterson,ARI,True,1,0,1,0,0,17,0,0.0,0.0,0.0,0.0,0.0
55863,ARI,DET,Sun,9,15,2013,2,M.Stafford,DET,False,36,0,24,2,0,278,0,11.0,8.0,0.0,0.0,19.0
55864,TB,NO,Sun,9,15,2013,2,J.Freeman,TB,True,22,0,9,1,1,125,0,5.0,4.0,0.0,-1.0,8.0
55864,TB,NO,Sun,9,15,2013,2,D.Brees,NO,False,46,0,26,1,2,322,0,12.0,4.0,0.0,-2.0,14.0
55865,NYG,DEN,Sun,9,15,2013,2,E.Manning,NYG,True,49,0,28,1,4,362,0,14.0,4.0,0.0,-4.0,14.0
55865,NYG,DEN,Sun,9,15,2013,2,P.Manning,DEN,False,43,0,30,2,0,307,0,12.0,8.0,0.0,0.0,20.0
55866,OAK,JAC,Sun,9,15,2013,2,T.Pryor,OAK,True,24,0,15,0,0,126,0,5.0,0.0,0.0,0.0,5.0
55866,OAK,JAC,Sun,9,15,2013,2,C.Henne,JAC,False,38,0,25,1,0,241,0,9.0,4.0,0.0,0.0,13.0
55867,SEA,SF,Sun,9,15,2013,2,R.Wilson,SEA,True,19,0,8,1,1,142,0,5.0,4.0,0.0,-1.0,8.0
55867,SEA,SF,Sun,9,15,2013,2,C.Kaepernick,SF,False,28,0,13,0,3,127,0,5.0,0.0,0.0,-3.0,2.0
55868,CIN,PIT,Mon,9,16,2013,2,A.Dalton,CIN,True,45,0,25,1,0,280,0,11.0,4.0,0.0,0.0,15.0
55868,CIN,PIT,Mon,9,16,2013,2,B.Roethlisberger,PIT,False,37,0,20,1,1,251,0,10.0,4.0,0.0,-1.0,13.0
55869,PHI,KC,Thu,9,19,2013,3,M.Vick,PHI,True,30,0,13,1,2,201,0,8.0,4.0,0.0,-2.0,10.0
55869,PHI,KC,Thu,9,19,2013,3,A.Smith,KC,False,35,0,22,0,0,273,0,10.0,0.0,0.0,0.0,10.0
