player_id,player_name,player_position,player_team,player_bye,week_1,week_2,week_3
359.p.8813,Jordy Nelson,WR,GB,4,15.20,18.30,28.10
359.p.27631,Devonta Freeman,RB,Atl,11,8.00,9.30,17.20
359.p.24089,Dennis Pitta,TE,Bal,8,6.90,19.20,10.20
359.p.29281,Michael Thomas,WR,NO,5,11.80,9.60,7.30
359.p.27583,Jeremy Hill,RB,Cin,9,9.10,8.90,21.70
359.p.23997,Demaryius Thomas,WR,Den,11,8.80,16.00,20.00
359.p.7776,DeAngelo Williams,RB,Pit,8,35.10,23.20,8.40
359.p.27570,Jordan Matthews,WR,Phi,4,24.40,13.10,9.90
359.p.100023,Pittsburgh,DEF,Pit,8,5.00,6.00,-1.00
359.p.7867,Stephen Gostkowski,K,NE,9,14.00,7.00,9.00
359.p.8826,DeSean Jackson,WR,Was,9,16.20,7.00,20.60
359.p.6663,Antonio Gates,,,,5.00,10.50,0.00
359.p.6770,Ben Roethlisberger,QB,Pit,8,22.80,21.76,7.98
359.p.28014,Isaiah Crowell,RB,Cle,13,15.80,21.80,7.90
359.p.8780,Matt Ryan,QB,Atl,11,24.36,28.84,13.88
