player_id,player_name,player_position,player_team,player_bye,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9
359.p.100003,Chicago,DEF,Chi,9,4.00,7.00,1.00,7.00,4.00,7.00,12.00,9.00,0.00
359.p.24053,Brandon LaFell,WR,Cin,9,13.10,6.90,5.20,8.40,26.80,9.30,18.30,1.60,0.00
359.p.29754,Wil Lutz,K,NO,5,11.00,8.00,8.00,5.00,0.00,13.00,3.00,16.00,0.00
359.p.27120,Brandon McManus,K,Den,11,3.00,15.00,5.00,9.00,12.00,8.00,9.00,9.00,0.00
359.p.24916,Julius Thomas,TE,Jax,5,17.40,11.10,3.30,0.00,0.00,4.80,11.00,11.80,0.00
359.p.28103,Chandler Catanzaro,K,Ari,9,3.00,11.00,6.00,7.00,7.00,4.00,8.00,2.00,0.00
359.p.29377,DeAndre Washington,RB,Oak,10,3.40,6.20,7.20,5.60,10.20,4.90,3.20,3.20,0.00
359.p.29374,Tajae Sharpe,WR,Ten,13,14.60,7.30,7.80,3.50,3.70,0.10,9.90,2.10,0.00
359.p.28408,Nelson Agholor,WR,Phi,4,15.70,8.20,5.10,0.00,5.20,6.40,3.00,5.50,0.00
359.p.23976,Sam Bradford,QB,Min,6,0.00,19.14,10.64,15.08,18.64,0.00,7.86,13.12,0.00
359.p.8795,Joe Flacco,QB,Bal,8,12.02,18.18,13.76,22.02,13.00,12.28,8.02,0.00,0.00
359.p.9219,Connor Barth,K,Chi,9,2.00,2.00,5.00,5.00,12.00,10.00,4.00,8.00,0.00
359.p.29288,Tyler Boyd,WR,Cin,9,4.40,11.80,4.80,2.00,6.30,11.90,1.30,9.10,0.00
359.p.100002,Buffalo,DEF,Buf,10,10.00,5.00,22.00,15.00,17.00,6.00,0.00,1.00,0.00
359.p.100019,New York,DEF,NYG,8,1.00,14.00,3.00,0.00,4.00,2.00,21.00,0.00,0.00
359.p.26878,C.J. Anderson,,,,29.90,18.30,5.10,12.20,9.20,11.10,16.70,0.00,0.00
359.p.25730,Kendall Wright,WR,Ten,13,0.00,0.00,0.00,3.40,1.90,27.30,3.20,19.90,0.00
359.p.28115,Damien Williams,RB,Mia,8,4.80,0.00,11.50,2.50,9.00,9.70,7.60,0.00,0.00
359.p.27619,John Brown,WR,Ari,9,1.80,2.40,13.00,24.40,2.10,10.40,0.00,14.90,0.00
359.p.28475,Sammie Coates,WR,Pit,8,7.60,12.30,8.00,13.80,31.90,0.00,1.40,0.00,0.00
359.p.25743,Brian Quick,WR,LA,8,5.30,1.80,13.30,20.90,8.10,11.10,13.20,0.00,0.00
359.p.24553,Victor Cruz,WR,NYG,8,13.40,11.10,10.00,10.00,0.00,6.10,10.50,0.00,0.00
359.p.24797,Blaine Gabbert,QB,SF,8,14.50,22.72,5.96,13.54,21.48,0.00,0.00,0.00,0.00
359.p.27911,Cody Parkey,K,Cle,13,0.00,0.00,12.00,11.00,1.00,9.00,5.00,9.00,0.00
359.p.28188,Chris Boswell,K,Pit,8,9.00,7.00,4.00,5.00,8.00,1.00,12.00,0.00,0.00
359.p.6390,Anquan Boldin,WR,Det,10,6.50,14.80,12.20,9.10,8.80,20.00,11.80,1.40,0.00
359.p.26596,Fozzy Whittaker,RB,Car,7,2.70,14.10,10.60,18.20,6.40,1.30,0.00,2.00,0.00
359.p.25178,Chris Hogan,WR,NE,9,15.00,9.90,1.30,0.00,15.60,4.90,2.50,19.10,0.00
359.p.28907,Andrew Franks,K,Mia,8,5.00,6.00,6.00,1.00,5.00,12.00,8.00,0.00,0.00
359.p.9526,Graham Gano,K,Car,7,9.00,18.00,5.00,7.00,2.00,7.00,0.00,15.00,0.00
359.p.9520,Ryan Succop,K,Ten,13,4.00,5.00,4.00,9.00,7.00,4.00,10.00,12.00,0.00
359.p.24834,Lance Kendricks,TE,LA,8,3.50,10.10,0.00,10.20,4.40,14.40,12.50,0.00,0.00
359.p.28464,Chris Conley,WR,KC,5,8.30,3.50,7.40,13.00,0.00,5.60,4.90,8.90,0.00
359.p.24845,Torrey Smith,WR,SF,8,3.30,14.50,6.50,1.30,0.00,16.60,2.70,0.00,0.00
359.p.27593,C.J. Fiedorowicz,TE,Hou,9,1.60,1.10,0.00,14.80,10.10,20.50,8.50,15.30,0.00
359.p.7426,Ryan Fitzpatrick,QB,NYJ,11,16.06,21.06,3.72,11.94,15.10,6.16,8.70,14.42,0.00
359.p.27597,Charles Sims,,,,13.10,5.80,24.40,3.50,0.00,0.00,0.00,0.00,0.00
359.p.28691,Tyrell Williams,,,,9.10,15.10,12.90,9.00,22.70,5.80,21.00,1.40,0.00
359.p.28697,Cameron Meredith,WR,Chi,9,0.00,0.00,2.40,6.80,26.60,22.30,2.20,3.40,0.00
359.p.28214,Seth Roberts,WR,Oak,10,9.90,5.50,10.70,10.20,4.20,5.90,8.20,15.90,0.00
359.p.6558,Josh Brown,K,NYG,8,0.00,11.00,9.00,5.00,12.00,9.00,0.00,0.00,0.00
