player_id,player_name,player_status,player_position,player_team,player_bye,player_season_total_points
359.p.7177,Alex Smith,,QB,KC,5,29.02
359.p.8432,Nick Folk,,K,NYJ,11,24.00
359.p.29255,Will Fuller,,WR,Hou,9,21.70
359.p.25793,Mohamed Sanu,,WR,Atl,11,21.00
359.p.29236,Carson Wentz,,QB,Phi,4,19.22
359.p.26701,Marquise Goodwin,,WR,Buf,10,19.20
359.p.24899,Greg Salas,,WR,Buf,10,18.90
359.p.27299,Jack Doyle,,TE,Ind,10,18.50
359.p.28669,Eli Rogers,,WR,Pit,8,17.90
359.p.25767,Brock Osweiler,,QB,Hou,9,17.64
359.p.30000,Jalen Richard,,RB,Oak,10,17.50
359.p.28461,Tevin Coleman,,RB,Atl,11,16.70
359.p.8819,Eddie Royal,,WR,Chi,9,15.70
359.p.28408,Nelson Agholor,,WR,Phi,4,15.70
359.p.25718,Ryan Tannehill,,QB,Mia,8,15.14
359.p.27590,Jimmy Garoppolo,,QB,NE,9,15.06
359.p.100002,Buffalo,,DEF,Buf,10,15.00
359.p.29374,Tajae Sharpe,,WR,Ten,13,14.60
359.p.24797,Blaine Gabbert,,QB,SF,8,14.50
359.p.26060,Cole Beasley,,WR,Dal,7,14.50
359.p.27581,Davante Adams,,WR,GB,4,14.00
359.p.24961,Charles Clay,,TE,Buf,False,13.70
359.p.28417,Phillip Dorsett,,WR,Ind,10,13.40
359.p.24553,Victor Cruz,,WR,NYG,8,13.40
359.p.24053,Brandon LaFell,,WR,Cin,9,13.10
359.p.24053,Brandon LaFell,,WR,Cin,9,13.10
359.p.24940,Jeremy Kerley,,WR,SF,8,13.10
359.p.100015,Miami,,DEF,Mia,8,13.00
359.p.28378,Jason Myers,,K,Jax,5,13.00
359.p.7760,Jay Cutler,,QB,Chi,9,12.84
359.p.26699,Keenan Allen,IR,,,,12.30
359.p.8795,Joe Flacco,,QB,Bal,8,12.02
359.p.3727,Adam Vinatieri,,K,Ind,10,12.00
359.p.7223,Mike Nugent,,K,Cin,9,12.00
359.p.26777,Chris Thompson,,RB,Was,9,11.90
359.p.28493,Jamison Crowder,,WR,Was,9,11.80
359.p.28638,Trevor Siemian,,QB,Den,11,11.12
359.p.8916,Jacob Tamme,,TE,Atl,11,11.10
359.p.8982,Pierre Garcon,,WR,Was,9,11.10
359.p.26751,Quinton Patton,,WR,SF,8,11.00
359.p.100020,New York,,DEF,NYJ,11,11.00
359.p.29754,Wil Lutz,,K,NO,5,11.00
359.p.7505,Nick Novak,,K,Hou,9,11.00
359.p.100021,Philadelphia,,DEF,Phi,4,11.00
359.p.26800,Dustin Hopkins,,K,Was,9,11.00
359.p.25991,Jermaine Kearse,,WR,Sea,5,10.70
359.p.9294,Kenny Britt,,WR,LA,8,10.70
359.p.24830,Kyle Rudolph,,TE,Min,6,10.50
359.p.26024,Travaris Cadet,,RB,NO,5,10.50
359.p.25712,Robert Griffin III,IR,,,,10.30
359.p.29369,Dak Prescott,,QB,Dal,7,10.28
359.p.6169,Shaun Hill,,QB,Min,6,10.24
359.p.25810,Travis Benjamin,,WR,SD,11,10.20
359.p.6243,Matt Bryant,,K,Atl,11,10.00
359.p.27566,Austin Seferian-Jenkins,,TE,TB,6,10.00
359.p.28214,Seth Roberts,,WR,Oak,10,9.90
359.p.25681,Terrelle Pryor Sr.,,WR,Cle,13,9.80
359.p.25481,Shaun Draughn,,RB,SF,8,9.60
